Ticker,Revenue Growth (%) 10year,Revenue Growth (%) 5year,Revenue Growth (%) 12mo,EBITDA Growth (%) 10year,EBITDA Growth (%) 5year,EBITDA Growth (%) 12mo,Operating Income Growth (%) 10year,Operating Income Growth (%) 5year,Operating Income Growth (%) 12mo,EPS without NRI Growth (%) 10year,EPS without NRI Growth (%) 5year,EPS without NRI Growth (%) 12mo,Free Cash Flow Growth (%) 10year,Free Cash Flow Growth (%) 5year,Free Cash Flow Growth (%) 12mo,Book Value Growth (%) 10year,Book Value Growth (%) 5year,Book Value Growth (%) 12mo
DDD,12.1,-1.0,-10.4,N/A ,N/A ,-189.5,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,9.9,9.9,-11.0
AYX,N/A ,49.8,49.6,N/A ,N/A ,-87.8,N/A ,N/A ,-42.1,N/A ,N/A ,-88.6,N/A ,N/A ,-13.1,N/A ,N/A ,24.7
PLAN,N/A ,N/A ,-5.6,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,-11.9
AVLR,N/A ,N/A ,-31.6,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,153.0
BB,-28.9,-23.3,8.9,N/A ,N/A ,-41.5,N/A ,17.7,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,-12.6,-12.6,-24.9
BOX,N/A ,-9.5,8.8,N/A ,37.0,N/A ,N/A ,32.5,N/A ,N/A ,33.0,N/A ,N/A ,N/A ,36.2,N/A ,0.0,29.3
CDAY,N/A ,N/A ,0.6,N/A ,N/A ,3.5,N/A ,N/A ,28.4,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,4.0
ECOM ,N/A ,5.7,-7.6,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0.0,10.5
CISN,N/A ,N/A ,-7.8,N/A ,N/A ,4.8,N/A ,N/A ,6.9,N/A ,N/A ,N/A ,N/A ,N/A ,-44.2,N/A ,N/A ,40.3
CLDR,N/A ,N/A ,-4.6,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,1233.3,N/A ,N/A ,-13.9
ESTC,N/A ,N/A ,9.7,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,47.0
ELLI,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A 
GWRE,13.3,13.0,-10.6,N/A ,16.9,-90.9,N/A ,N/A ,-249.1,N/A ,N/A ,-151.5,23.6,4.1,-27.7,N/A ,16.8,2.4
HUBS,N/A ,16.4,20.6,N/A ,N/A ,N/A ,N/A ,18.4,N/A ,N/A ,14.8,N/A ,N/A ,N/A ,-39.8,N/A ,31.6,6.8
INST,N/A ,17.4,14.5,N/A ,15.2,N/A ,N/A ,8.9,N/A ,N/A ,11.8,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,4.8
"MIXT
",11.9,20.3,27.4,12.0,13.1,-38.7,11.7,33.7,7.7,14.4,20.7,44.2,N/A ,N/A ,-23.9,13.3,4.9,-5.9
"LN
",N/A ,15.1,7.9,N/A ,N/A ,-441.3,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,68.9,-22.9
NEWR,N/A ,21.9,21.4,N/A ,N/A ,-74.0,N/A ,12.0,N/A ,N/A ,9.9,N/A ,N/A ,N/A ,-58.7,N/A ,9.9,10.8
ORCL,6.4,6.9,12.0,6.3,7.3,11.7,5.8,6.5,14.7,4.0,5.2,3.7,6.0,4.5,1.7,-1.7,-1.7,-43.5
PVTL,N/A ,N/A ,-16.4,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,1.9
RST,-5.8,-8.7,2.1,N/A ,N/A ,-435.3,N/A ,27.7,N/A ,N/A ,34.1,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A 
SAIL,N/A ,N/A ,19.4,N/A ,N/A ,-47.4,N/A ,N/A ,-226.4,N/A ,N/A ,N/A ,N/A ,N/A ,63.0,N/A ,N/A ,13.7
CRM,23.2,18.7,16.4,29.1,38.5,14.1,N/A ,N/A ,-76.8,N/A ,N/A ,-112.2,31.5,27.5,-8.5,31.7,43.6,78.4
NOW,N/A ,30.6,23.4,N/A ,N/A ,138.1,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,53.8,37.3,N/A ,30.0,75.2
SHOP,N/A ,54.5,39.6,N/A ,-36.4,N/A ,N/A ,-36.0,N/A ,N/A ,-27.7,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,42.4
SMAR,N/A ,N/A ,35.6,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,180.7
SQ,N/A ,20.5,29.2,N/A ,N/A ,16.0,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,119.5,N/A ,N/A ,56.3
DATA,N/A ,27.9,18.1,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,37.7,-29.5,N/A ,17.1,7.7
TDC,5.1,-0.8,-7.1,-9.1,-1.7,-3.6,-23.2,-50.6,-78.2,N/A ,N/A ,527.3,-5.6,-21.2,-29.7,-8.0,-8.0,-21.4
TWLO,N/A ,27.8,27.4,N/A ,-19.7,N/A ,N/A ,-28.0,N/A ,N/A ,-23.8,N/A ,N/A ,14.3,N/A ,N/A ,N/A ,15.8
TYL,13.9,13.8,14.8,17.3,13.9,9.1,15.3,8.3,4.0,22.3,20.5,20.5,23.2,9.6,24.0,35.2,27.0,17.4
VMW,16.2,13.3,11.8,17.0,14.1,20.0,18.6,9.7,-13.7,23.1,35.1,235.8,14.8,19.0,-3.9,4.2,4.2,1189.1
WK,N/A ,13.6,16.4,N/A ,3.5,N/A ,N/A ,2.1,N/A ,N/A ,2.5,N/A ,N/A ,N/A ,301.4,N/A ,N/A ,1625.9
FDS,11.8,11.9,4.5,9.5,9.6,8.3,9.8,8.7,9.5,11.6,10.0,14.1,10.3,10.3,4.7,3.9,6.3,20.3
HUYA,N/A ,N/A ,40.4,N/A ,N/A ,1741.7,N/A ,N/A ,1741.7,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,31.7
MODN,N/A ,7.5,-3.1,N/A ,15.4,N/A ,N/A ,8.3,N/A ,N/A ,3.0,N/A ,N/A ,N/A ,62.0,N/A ,0.0,16.8
RHT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNAP,N/A ,N/A ,39.2,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,-8.1
